date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jun%202019%2005:53:36%20GMT	http://www.urbanui.com/celestial/template/images/file-icons/dropify-icon-large.png	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/images/file-icons/dropify-icon-large.png	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/forms/dropify.html)
11:23:37	16574/16574	---MC-	200	added ('OK')	application/vnd.ms-fontobject	etag:%2240be-587b9499fdca4%22	http://www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote.eot?0d0d5fac99cc8774d89eb08b1a8323c4	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote291f.eot	(from http://www.urbanui.com/celestial/template/vendors/summernote/dist/summernote-bs4.css)
11:23:38	10196/10196	---MC-	200	added ('OK')	application/font-woff	etag:%2227d4-587b9499fdca4%22	http://www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote.woff?0d0d5fac99cc8774d89eb08b1a8323c4	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote291f.woff	(from http://www.urbanui.com/celestial/template/vendors/summernote/dist/summernote-bs4.css)
11:23:38	16388/16388	---M--	200	added ('OK')	application/font-sfnt	etag:%224004-587b9499fdca4%22	http://www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote.ttf?0d0d5fac99cc8774d89eb08b1a8323c4	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/summernote/dist/font/summernote291f.ttf	(from http://www.urbanui.com/celestial/template/vendors/summernote/dist/summernote-bs4.css)
11:23:39	4188/4188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-105c%22	http://www.urbanui.com/celestial/template/vendors/codemirror/shell.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/codemirror/shell.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/forms/code_editor.html)
11:23:40	7090/7090	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-1bb2%22	http://www.urbanui.com/celestial/template/vendors/flot/jquery.flot.stack.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/flot/jquery.flot.stack.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/charts/flot-chart.html)
11:23:41	38111/38111	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-94df%22	http://www.urbanui.com/celestial/template/vendors/justgage/justgage.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/justgage/justgage.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/charts/justGage.html)
11:23:41	821/821	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-335%22	http://www.urbanui.com/celestial/template/js/data-table.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/js/data-table.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/tables/data-table.html)
11:23:42	12958/12958	---MCZ	200	added ('OK')	text/css	etag:W/%225cc7e755-329e%22	http://www.urbanui.com/celestial/template/vendors/simple-line-icons/css/simple-line-icons.css	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/simple-line-icons/css/simple-line-icons.css	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/icons/simple-line-icon.html)
11:23:43	31838/31838	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc7e755-7c5e%22	http://www.urbanui.com/celestial/template/vendors/jquery-mapael/jquery.mapael.min.js	C:/Users/Admin/Desktop/GST%20DATA/GST_template3/www.urbanui.com/celestial/template/vendors/jquery-mapael/jquery.mapael.min.js	(from http://www.urbanui.com/celestial/template/demo/vertical-default-light/pages/maps/mapael.html)
